Timestamp,Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
8-31-2020 17:51:10,Female,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Stress",No,Black board teaching,No,Offline classes,Hate online classes . Just waiting for offline classes to start. 
8-31-2020 17:51:14,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,Good!
8-31-2020 17:51:22,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 17:51:54,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Online classes,I really loved how they arrange breakout room sessions requesting you to put that for every subject it's more interactive 
8-31-2020 17:52:09,Female,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 17:52:45,Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 17:52:45,Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,
8-31-2020 17:53:16,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 17:53:54,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 17:54:26,Male,On (When teacher asks),Always On,Computer,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,Boring
8-31-2020 17:54:40,Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes,Offline > Online
8-31-2020 17:55:09,Female,On (When teacher asks),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,Online classes are causing really a lot of stress and many health related problems
8-31-2020 17:55:22,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 17:55:25,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,No,Offline classes,Offline teaching has a better interactivity with the lecturers as well as with the students for a better experience of learning in my opinion. Online platforms as of right now aren’t that great for a better combined learning experience. It feels more like a presenter and audience scenario.
8-31-2020 17:55:35,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress",No,Presentations (ppt),No,Offline classes,Not helpful 
8-31-2020 17:55:57,Male,On (When teacher asks),On (To answer Teacher),Phone,No Issue,No,Black board teaching,No,Offline classes,
8-31-2020 17:56:14,Female,On (When teacher asks),Off (Other reason),"Phone, Laptop","Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,Not that good. Because of continuous vision getting eye strain
8-31-2020 17:57:20,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,Daily 2 to 3 classes is better
8-31-2020 17:57:21,Male,On (When teacher asks),On (To answer Teacher),"Laptop, Computer",No Issue,Yes,Presentations (ppt),Yes,Offline classes,"See what do I feel is even the black board teaching doesn't bring much difference. Even there also we have to sit on table like goats taking notes and listening to lectures. The main part of education is to educate, how we are getting information is not the main issue the educating people by any means is good. "
8-31-2020 17:57:43,Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,
8-31-2020 17:57:48,Male,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Black board teaching,No,Offline classes,
8-31-2020 17:57:52,Female,On (When teacher asks),Off (No mic available),Laptop,Headache,No,Black board teaching,Yes,Offline classes,
8-31-2020 17:58:07,Female,Off (No webcam available),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Headache, Other",Yes,Black board teaching,Yes,Online classes,Good
8-31-2020 17:58:08,Female,Off (Other reason),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain",Yes,Presentations (ppt),No,Offline classes,
8-31-2020 17:58:09,Male,On (All the time),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, No Issue",Yes,Presentations (ppt),Yes,Offline classes,Nothing
8-31-2020 17:58:18,Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 17:58:27,Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,
8-31-2020 17:58:56,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,It is of no use as most of them at home would not prefer as they would get distracted easily 
8-31-2020 17:59:47,Female,On (All the time),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,Yes,Offline classes,Good
8-31-2020 18:00:04,Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 18:00:09,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:00:43,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:00:52,Female,On (When teacher asks),Off (Do not want to reply),"Phone, Tab, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:01:09,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 18:01:13,Male,Off (Other reason),On (To answer Teacher),"Tab, Laptop",No Issue,Yes,Black board teaching,Yes,Online classes,
8-31-2020 18:01:24,Male,On (When teacher asks),Always On,Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,It's a sheer acceptance of stress and strain on eyes as students are already over the mobiles and in additional to the online education they are attached more to the mobile
8-31-2020 18:01:37,Female,Off (No webcam available),On (To answer Teacher),Tab,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:01:39,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,No,Presentations (ppt),No,Offline classes,
8-31-2020 18:02:33,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Presentations (ppt),Yes,Online classes,"I expected alot from teaching online,but the explanation and understanding is bad compare to offline.It is too bore to understand the subject."
8-31-2020 18:02:53,Male,Off (No webcam available),On (To answer Teacher),"Phone, Tab, Computer",Eye Strain,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:03:18,Male,On (All the time),Off (Other reason),"Laptop, Computer",No Issue,Yes,Presentations (ppt),Yes,Online classes,In some cases my mic is not working 
8-31-2020 18:03:34,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,"
Its just a wa ofy keeping the academics flowing neglecting the students"
8-31-2020 18:04:18,Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),No,Offline classes,
8-31-2020 18:05:14,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Stress",Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:05:27,Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes,-
8-31-2020 18:05:56,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Other",Yes,Black board teaching,Yes,Online classes,
8-31-2020 18:06:04,Female,On (When teacher asks),On (To answer Teacher),Laptop,Other,No,Black board teaching,Yes,Offline classes,
8-31-2020 18:06:40,Male,Off (Untidy appearance),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,Timewaste process
8-31-2020 18:06:40,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,
8-31-2020 18:06:41,Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Back pain, Headache, Other",Yes,Black board teaching,No,Offline classes,
8-31-2020 18:06:59,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop, Computer",Eye Strain,No,Black board teaching,Yes,Online classes,
8-31-2020 18:07:12,Male,On (All the time),Off (Other reason),"Laptop, Computer",No Issue,Yes,Presentations (ppt),Yes,Online classes,In some cases my mic is not working 
8-31-2020 18:07:36,Female,On (All the time),On (To answer Teacher),Tab,Eye Strain,Yes,Presentations (ppt),No,Offline classes,
8-31-2020 18:07:37,Male,On (When teacher asks),On (To answer Teacher),Laptop,Other,Yes,Black board teaching,Yes,Offline classes,It's cool
8-31-2020 18:07:59,Female,On (All the time),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,
8-31-2020 18:08:53,Female,On (All the time),On (To answer Teacher),Laptop,Headache,No,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:09:07,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,
8-31-2020 18:09:31,Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,It is better than offline classes
8-31-2020 18:09:41,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Other",No,Black board teaching,No,Offline classes,
8-31-2020 18:09:44,Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Bad
8-31-2020 18:10:40,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 18:10:51,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:11:19,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Other",Yes,Black board teaching,No,Offline classes,Faculty need to be trained more regarding the usage of the platform
8-31-2020 18:12:05,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,...
8-31-2020 18:13:14,Female,On (When teacher asks),On (To answer Teacher),"Tab, Laptop","Eye Strain, Back pain",No,Presentations (ppt),No,Offline classes,
8-31-2020 18:13:15,Male,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:13:24,Male,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop",Headache,No,Black board teaching,No,Offline classes,
8-31-2020 18:13:28,Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Online classes are an optional way to educate students in this pandemic .. but they need to think about students life .. sitting before phone is ok for 2-3hrs a day but it’s not fine for 6-7 hrs .. some parents won’t understand wht actually going on and they think their kids r wasting tym using social media .. but students are undergoing more and more health issues as they r spending 6-7 hrs on mobile a day to listen classes and the institutions is also giving a lot of assigenemts and homework’s which is causing a lot of burden to students mind 
8-31-2020 18:13:48,Female,Off (Other reason),On (To answer Teacher),Laptop,Headache,Yes,Black board teaching,Yes,Offline classes,None
8-31-2020 18:14:06,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,Offline line classes are more better than the online classes 
8-31-2020 18:14:13,Female,Off (Untidy appearance),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 18:14:36,Female,Off (Shy to switch on),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:15:34,Male,Off (Other reason),Off (Other reason),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,Useless
8-31-2020 18:15:44,Female,On (When teacher asks),Off (Other reason),"Phone, Laptop","Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
8-31-2020 18:15:49,Female,Off (Shy to switch on),Off (Do not want to reply),Laptop,Back pain,No,Black board teaching,No,Offline classes,
8-31-2020 18:16:06,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 18:16:27,Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:16:31,Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",Eye Strain,Yes,Black board teaching,No,Offline classes,
8-31-2020 18:16:34,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Worst experience
8-31-2020 18:16:39,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),No,Offline classes,Useful if utilized properly
8-31-2020 18:16:42,Male,On (All the time),Always On,Laptop,Stress,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:16:45,Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:16:47,Male,On (All the time),Always On,Laptop,Stress,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:16:56,Female,Off (Untidy appearance),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
8-31-2020 18:17:24,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 18:17:35,Female,Off (Untidy appearance),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:18:08,Female,Off (Shy to switch on),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:18:13,Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
8-31-2020 18:18:44,Female,On (When teacher asks),On (To answer Teacher),Phone,No Issue,No,Black board teaching,Yes,Offline classes,
8-31-2020 18:19:14,Female,On (When teacher asks),Off (Other reason),Phone,"Eye Strain, Headache, Stress",Yes,Black board teaching,No,Offline classes,Don't want to use Mobile always
8-31-2020 18:19:18,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 18:19:29,Female,On (When teacher asks),Off (Other reason),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,It's good but it effect health
8-31-2020 18:19:32,Male,Off (No webcam available),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,
8-31-2020 18:19:34,Male,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 18:19:36,Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 18:19:47,Male,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 18:19:57,Female,On (When teacher asks),Off (Other reason),"Phone, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,"Classes should be conducted for only 3 hrs per day but teachers are conducting for 6 hrs and its difficult to understand and write at a time they need to send notes etc . And make us rid of online exams  weekly . Teaching way is so fast so we cant understand properly and unable to ask doubts while teaching. 
"
8-31-2020 18:20:03,Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:20:13,Male,On (All the time),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
8-31-2020 18:20:26,Female,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Waste of time and efforts 
8-31-2020 18:20:28,Male,Off (Shy to switch on),Off (Do not want to reply),Phone,"Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:20:28,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:20:36,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",No,Black board teaching,Yes,Offline classes,It would be great if breaks are provided.
8-31-2020 18:20:44,Male,On (All the time),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Online classes,👌
8-31-2020 18:21:04,Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,No,Offline classes,
8-31-2020 18:21:15,Female,On (All the time),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:21:47,Female,Off (Other reason),On (To answer Teacher),Laptop,"Headache, Stress",Yes,Black board teaching,No,Offline classes,
8-31-2020 18:21:57,Male,On (When teacher asks),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain",No,Black board teaching,No,Offline classes,It is not a good alternative to black board education 
8-31-2020 18:22:12,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:22:46,Female,On (All the time),On (To answer Teacher),Tab,No Issue,Yes,Black board teaching,Yes,Online classes,
8-31-2020 18:23:03,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:24:06,Male,Off (No webcam available),On (To answer Teacher),"Phone, Laptop",Headache,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:24:17,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:24:27,Female,Off (Untidy appearance),On (To answer Teacher),Tab,"Back pain, No Issue",No,Presentations (ppt),No,Offline classes,
8-31-2020 18:24:55,Female,Off (Other reason),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 18:25:48,Female,Off (Other reason),Off (Other reason),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 18:25:56,Female,Off (Other reason),Off (Other reason),"Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Not good at all 
8-31-2020 18:26:11,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
8-31-2020 18:26:27,Female,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,"Tbh,i think it is not good idea or bad idea i think it is just a necessary need and one more thing can't understand anything(time waste and data waste.) "
8-31-2020 18:26:27,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 18:26:47,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Pls stop the online classes 🙏🏻
8-31-2020 18:27:18,Female,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,It's good but strainful
8-31-2020 18:27:29,Female,On (When teacher asks),On (To answer Teacher),Tab,Headache,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:27:42,Female,On (All the time),Always On,"Laptop, Computer","Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,Nice
8-31-2020 18:28:13,Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes,
8-31-2020 18:28:18,Male,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,No
8-31-2020 18:28:26,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 18:28:37,Male,Off (Untidy appearance),On (To answer Teacher),"Phone, Computer","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:29:32,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:30:22,Female,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,Yes,Presentations (ppt),No,Offline classes,"In no option situations, online classes are preferable but under normal circumstances offline blackboard interaction is more influential n good"
8-31-2020 18:30:40,Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 18:30:44,Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Stress",Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:31:10,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 18:31:16,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,"If that is the best option available for our safety, we go with it. "
8-31-2020 18:31:27,Male,Off (No webcam available),On (To answer Teacher),Phone,Back pain,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 18:31:36,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:31:39,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,We cannot feel free and sit in one particular position
8-31-2020 18:32:19,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes,-
8-31-2020 18:32:26,Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
8-31-2020 18:32:33,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 18:32:39,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,"Faculty are not able to use the zoom platform properly,they require proper training about this."
8-31-2020 18:32:43,Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
8-31-2020 18:33:17,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Please stop this online classes and begin ofline
8-31-2020 18:33:17,Male,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,Feeling Uncomfort
8-31-2020 18:33:26,Male,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",No,Presentations (ppt),No,Offline classes,"Net problem ,distubance in surrounding,and many more making me divert .better to take offline in my opinion"
8-31-2020 18:33:53,Female,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Presentations (ppt),Yes,Offline classes,Offline classes are much more better where we have presence of mind in attending complete classes
